Ticker,Date,Actual,Estimate
TEL,2019-01-23 06:00:00,1.29,1.279
FFIV,2019-01-23 16:05:00,2.7,2.535
VAR,2019-01-23 16:06:00,1.06,1.084
RJF,2019-01-23 16:23:00,1.79,1.719
SBUX,2019-01-24 16:05:00,0.75,0.649
APD,2019-01-25 06:00:00,1.86,1.869
DHI,2019-01-25 06:30:00,0.76,0.781
ROK,2019-01-29 07:00:00,2.21,2.006
AAPL,2019-01-29 16:30:00,4.18,4.167
HP,2019-01-29 17:09:00,-0.1,0.294
BEN,2019-01-30 08:30:00,0.54,0.659
HOLX,2019-01-30 16:01:00,0.58,0.571
QCOM,2019-01-30 16:05:00,1.2,1.089
V,2019-01-30 16:07:00,1.3,1.253
ABC,2019-01-31 06:30:00,1.6,1.521
WRK,2019-01-31 06:30:00,0.83,0.805
JCI,2019-02-01 06:55:00,0.26,0.24
BDX,2019-02-05 06:00:00,2.7,2.605
EMR,2019-02-05 06:54:00,0.76,0.659
VIAB,2019-02-05 07:00:00,1.12,1.024
TDG,2019-02-05 07:15:00,3.85,3.431
DIS,2019-02-05 16:05:00,1.84,1.542
SWKS,2019-02-05 16:15:00,1.83,1.821
ATO,2019-02-05 17:06:00,1.38,1.327
JEC,2019-02-06 06:40:00,1.14,1.038
TSN,2019-02-07 07:30:00,1.58,1.56
AMAT,2019-02-14 16:01:00,0.81,0.788
DE,2019-02-15 06:20:00,1.54,1.751
ADI,2019-02-20 08:00:00,1.33,1.282
A,2019-02-20 16:05:00,0.76,0.731
SNPS,2019-02-20 16:05:00,1.08,0.966
HRL,2019-02-21 06:30:00,0.44,0.443
HPE,2019-02-21 16:05:00,0.42,0.348
KEYS,2019-02-21 16:05:00,0.93,0.804
HPQ,2019-02-27 16:05:00,0.52,0.517
COO,2019-03-05 16:15:00,2.88,2.507
ADBE,2019-03-14 16:05:00,1.71,1.616
AVGO,2019-03-14 16:15:00,5.55,5.231
INFO,2019-03-26 06:00:00,0.6,0.566
MKC,2019-03-26 06:30:00,1.12,1.04
CCL,2019-03-26 09:15:00,0.49,0.438
LEN,2019-03-27 06:00:00,0.74,0.754
DAL,2019-04-10 07:01:00,0.96,0.898
FAST,2019-04-11 06:50:00,0.34,0.339
JPM,2019-04-12 06:47:00,2.59,2.353
PNC,2019-04-12 07:00:00,2.69,2.608
FRC,2019-04-12 08:00:00,1.26,1.226
WFC,2019-04-12 08:00:00,1.01,1.092
MTB,2019-04-15 06:37:00,3.35,3.301
GS,2019-04-15 07:30:00,5.71,4.968
C,2019-04-15 07:59:00,1.87,1.798
SCHW,2019-04-15 08:45:00,0.69,0.657
JBHT,2019-04-15 16:01:00,1.09,1.248
UNH,2019-04-16 05:55:00,3.73,3.599
BLK,2019-04-16 06:15:00,6.61,6.13
CMA,2019-04-16 06:38:00,2.08,1.931
JNJ,2019-04-16 06:40:00,2.1,2.035
BAC,2019-04-16 06:45:00,0.71,0.656
OMC,2019-04-16 06:45:00,1.17,1.082
PLD,2019-04-16 08:00:00,0.73,0.718
PGR,2019-04-16 08:21:00,1.83,1.359
NFLX,2019-04-16 16:00:00,0.76,0.58
CSX,2019-04-16 16:02:00,1.02,0.908
IBM,2019-04-16 16:05:00,2.25,2.217
UAL,2019-04-16 16:15:00,1.15,0.952
PEP,2019-04-17 06:11:00,0.97,0.914
BK,2019-04-17 06:30:00,0.94,0.958
TXT,2019-04-17 06:30:00,0.76,0.683
USB,2019-04-17 06:45:00,1.0,1.001
MS,2019-04-17 07:00:00,1.33,1.166
PNR,2019-04-17 07:04:00,0.43,0.43
ABT,2019-04-17 07:45:00,0.63,0.613
KSU,2019-04-17 08:00:00,1.54,1.436
ETFC,2019-04-17 16:05:00,1.09,0.929
KMI,2019-04-17 16:05:00,0.25,0.243
LVS,2019-04-17 16:05:00,0.91,0.866
SLG,2019-04-17 16:06:00,1.68,1.689
GL,2019-04-17 16:10:00,1.64,1.586
CCI,2019-04-17 16:15:00,1.36,1.374
URI,2019-04-17 16:15:00,3.31,3.027
BBT,2019-04-18 05:45:00,1.05,1.03
DHR,2019-04-18 06:00:00,1.07,1.016
RF,2019-04-18 06:00:00,0.37,0.369
STI,2019-04-18 06:00:00,1.33,1.304
CFG,2019-04-18 06:30:00,0.93,0.892
HON,2019-04-18 06:30:00,1.92,1.833
KEY,2019-04-18 06:30:00,0.4,0.414
SNA,2019-04-18 06:30:00,3.01,2.901
SYF,2019-04-18 06:30:00,1.0,0.891
DOV,2019-04-18 06:45:00,1.24,1.104
PPG,2019-04-18 06:51:00,1.38,1.21
TRV,2019-04-18 06:57:00,2.83,2.738
PM,2019-04-18 06:59:00,1.09,0.997
SLB,2019-04-18 07:00:00,0.3,0.301
AXP,2019-04-18 07:30:00,2.01,1.986
UNP,2019-04-18 08:00:00,1.93,1.877
GPC,2019-04-18 08:32:00,1.28,1.304
PBCT,2019-04-18 16:01:00,0.33,0.333
ISRG,2019-04-18 16:05:00,2.61,2.699
HAL,2019-04-22 06:45:00,0.23,0.223
NVR,2019-04-22 07:00:00,47.64,34.448
KMB,2019-04-22 07:30:00,1.66,1.539
GWW,2019-04-22 08:00:00,4.51,4.45
CDNS,2019-04-22 16:05:00,0.54,0.491
WHR,2019-04-22 16:10:00,3.11,2.864
ZION,2019-04-22 16:10:00,1.04,1.048
CE,2019-04-22 16:45:00,2.62,2.395
CNC,2019-04-23 06:00:00,1.39,1.34
FITB,2019-04-23 06:30:00,0.63,0.587
HAS,2019-04-23 06:30:00,0.21,-0.112
PHM,2019-04-23 06:30:00,0.59,0.473
DGX,2019-04-23 06:45:00,1.4,1.364
HOG,2019-04-23 06:50:00,0.98,0.855
WAT,2019-04-23 06:50:00,1.6,1.724
UTX,2019-04-23 06:55:00,1.91,1.711
SHW,2019-04-23 07:00:00,3.6,3.657
STT,2019-04-23 07:00:00,1.24,1.195
TWTR,2019-04-23 07:00:00,0.37,0.147
KO,2019-04-23 07:03:00,0.48,0.463
LMT,2019-04-23 07:30:00,5.99,4.343
NEE,2019-04-23 07:30:00,2.2,2.047
NUE,2019-04-23 07:30:00,1.63,1.504
VZ,2019-04-23 07:30:00,1.2,1.167
NTRS,2019-04-23 07:33:00,1.53,1.469
TXN,2019-04-23 16:01:00,1.26,1.128
SYK,2019-04-23 16:05:00,1.88,1.839
RHI,2019-04-23 16:13:00,0.93,0.951
EBAY,2019-04-23 16:15:00,0.67,0.628
EW,2019-04-23 16:15:00,1.32,1.224
FE,2019-04-23 16:20:00,0.67,0.67
ANTM,2019-04-24 06:00:00,6.03,5.84
SWK,2019-04-24 06:00:00,1.42,1.113
TMO,2019-04-24 06:00:00,2.81,2.73
BSX,2019-04-24 06:30:00,0.35,0.356
MKTX,2019-04-24 06:30:00,1.39,1.375
NOC,2019-04-24 06:38:00,5.06,4.587
BIIB,2019-04-24 06:39:00,6.98,6.994
AVY,2019-04-24 06:45:00,1.48,1.455
T,2019-04-24 06:49:00,0.86,0.858
DTE,2019-04-24 06:50:00,2.05,1.959
MCO,2019-04-24 07:00:00,2.07,1.934
NDAQ,2019-04-24 07:00:00,1.22,1.163
BA,2019-04-24 07:30:00,3.16,3.251
CAT,2019-04-24 07:30:00,2.94,2.846
FLIR,2019-04-24 07:30:00,0.53,0.483
GD,2019-04-24 07:30:00,2.56,2.415
ROL,2019-04-24 07:30:00,0.13,0.152
TROW,2019-04-24 07:30:00,1.87,1.683
APH,2019-04-24 08:00:00,0.89,0.881
NSC,2019-04-24 08:00:00,2.51,2.179
ALGN,2019-04-24 16:00:00,0.89,0.825
CINF,2019-04-24 16:05:00,1.05,0.877
CTXS,2019-04-24 16:05:00,1.27,1.173
FB,2019-04-24 16:05:00,1.89,1.619
FBHS,2019-04-24 16:05:00,0.63,0.583
AMP,2019-04-24 16:10:00,3.75,3.631
CMG,2019-04-24 16:10:00,3.4,3.013
NOW,2019-04-24 16:10:00,0.67,0.543
DRE,2019-04-24 16:12:00,0.33,0.321
ESS,2019-04-24 16:15:00,3.23,3.196
PYPL,2019-04-24 16:15:00,0.78,0.678
AVB,2019-04-24 16:16:00,2.3,2.286
ORLY,2019-04-24 16:30:00,4.05,4.055
PKG,2019-04-24 17:29:00,1.98,1.957
ALLE,2019-04-25 05:30:00,0.88,0.866
IRM,2019-04-25 06:00:00,0.48,0.512
LKQ,2019-04-25 06:00:00,0.56,0.561
XEL,2019-04-25 06:00:00,0.61,0.615
MMM,2019-04-25 06:30:00,2.23,2.485
ALXN,2019-04-25 06:30:00,2.39,2.211
BWA,2019-04-25 06:30:00,1.0,0.944
VLO,2019-04-25 06:30:00,0.34,0.232
XRX,2019-04-25 06:30:00,0.91,0.8
LUV,2019-04-25 06:31:00,0.7,0.608
IVZ,2019-04-25 06:55:00,0.56,0.527
NEM,2019-04-25 06:55:00,0.33,0.273
RTN,2019-04-25 06:55:00,2.77,2.472
ROP,2019-04-25 06:55:00,3.3,2.779
AEP,2019-04-25 06:57:00,1.19,1.111
BMY,2019-04-25 06:59:00,1.1,1.089
MO,2019-04-25 07:00:00,0.9,0.921
CMS,2019-04-25 07:00:00,0.75,0.772
CMCSA,2019-04-25 07:00:00,0.76,0.681
HSY,2019-04-25 07:00:00,1.59,1.467
IP,2019-04-25 07:00:00,1.11,0.906
MMC,2019-04-25 07:00:00,1.52,1.452
MAS,2019-04-25 07:00:00,0.44,0.473
UPS,2019-04-25 07:00:00,1.39,1.415
WM,2019-04-25 07:00:00,0.94,0.918
WEC,2019-04-25 07:00:00,1.33,1.255
BAX,2019-04-25 07:15:00,0.76,0.681
ADS,2019-04-25 07:30:00,3.72,4.05
HES,2019-04-25 07:30:00,0.09,-0.266
WAB,2019-04-25 07:30:00,1.06,0.843
ABBV,2019-04-25 07:42:00,2.14,2.059
HBAN,2019-04-25 07:46:00,0.32,0.316
FCX,2019-04-25 08:00:00,0.05,0.073
ITW,2019-04-25 08:00:00,1.81,1.805
TSCO,2019-04-25 08:00:00,0.63,0.554
ALK,2019-04-25 16:01:00,0.17,0.151
AMZN,2019-04-25 16:01:00,7.09,4.667
CERN,2019-04-25 16:01:00,0.61,0.615
TMUS,2019-04-25 16:03:00,1.06,0.92
COF,2019-04-25 16:05:00,2.9,2.706
DLR,2019-04-25 16:05:00,1.92,1.63
IEX,2019-04-25 16:05:00,1.44,1.369
ILMN,2019-04-25 16:05:00,1.6,1.338
VRSN,2019-04-25 16:05:00,1.31,1.25
INTC,2019-04-25 16:06:00,0.89,0.87
SIVB,2019-04-25 16:06:00,5.44,4.782
RSG,2019-04-25 16:07:00,0.73,0.719
AJG,2019-04-25 16:15:00,1.63,1.609
F,2019-04-25 16:15:00,0.44,0.256
JNPR,2019-04-25 16:15:00,0.26,0.212
MHK,2019-04-25 16:15:00,2.13,2.064
PKI,2019-04-25 16:15:00,0.69,0.662
PFG,2019-04-25 16:15:00,1.43,1.308
FTI,2019-04-25 16:15:00,0.06,0.318
UHS,2019-04-25 16:16:00,2.45,2.605
FTV,2019-04-25 16:17:00,0.69,0.691
AFL,2019-04-25 16:19:00,1.13,1.059
DFS,2019-04-25 16:19:00,2.15,2.017
EMN,2019-04-25 16:39:00,1.77,1.867
NOV,2019-04-25 18:15:00,-0.18,-0.08
WY,2019-04-26 03:05:00,0.11,0.092
AON,2019-04-26 06:00:00,3.31,3.302
ZBH,2019-04-26 06:00:00,1.87,1.863
COG,2019-04-26 06:30:00,0.73,0.651
LYB,2019-04-26 06:30:00,2.22,2.17
CL,2019-04-26 06:55:00,0.67,0.663
VTR,2019-04-26 06:59:00,0.99,0.956
ADM,2019-04-26 07:00:00,0.46,0.595
IPG,2019-04-26 07:00:00,0.11,0.048
AAL,2019-04-26 07:30:00,0.52,0.506
XOM,2019-04-26 08:00:00,0.55,0.716
CVX,2019-04-26 08:30:00,1.39,1.303
L,2019-04-29 06:00:00,1.2,0.96
VNO,2019-04-29 11:06:00,1.3,1.34
SBAC,2019-04-29 16:01:00,1.72,1.663
GOOGL,2019-04-29 16:02:00,10.81,10.541
LEG,2019-04-29 16:07:00,0.49,0.522
ARE,2019-04-29 16:10:00,1.71,1.682
MGM,2019-04-29 16:15:00,0.14,0.213
LDOS,2019-04-30 06:00:00,1.13,1.0
WCG,2019-04-30 06:00:00,3.69,3.062
IR,2019-04-30 06:15:00,0.89,0.797
LLY,2019-04-30 06:25:00,1.33,1.301
GE,2019-04-30 06:29:00,0.14,0.089
NLSN,2019-04-30 06:30:00,0.35,0.319
WELL,2019-04-30 06:30:00,1.02,1.019
ETN,2019-04-30 06:34:00,1.26,1.244
BKR,2019-04-30 06:45:00,0.15,0.133
MRK,2019-04-30 06:45:00,1.22,1.051
PFE,2019-04-30 06:45:00,0.85,0.761
AOS,2019-04-30 06:55:00,0.53,0.573
LH,2019-04-30 06:56:00,2.62,2.534
MLM,2019-04-30 06:58:00,0.68,0.33
SPG,2019-04-30 06:59:00,3.04,3.054
CHTR,2019-04-30 07:00:00,0.98,1.371
COP,2019-04-30 07:00:00,1.0,0.907
FIS,2019-04-30 07:00:00,1.64,1.447
INCY,2019-04-30 07:00:00,0.62,0.391
PSX,2019-04-30 07:00:00,0.4,0.34
GLW,2019-04-30 07:16:00,0.4,0.395
CMI,2019-04-30 07:30:00,4.2,3.555
MCD,2019-04-30 07:58:00,1.78,1.754
ARNC,2019-04-30 08:00:00,0.43,0.387
GM,2019-04-30 08:00:00,1.41,1.1
IPGP,2019-04-30 08:00:00,1.02,1.099
MA,2019-04-30 08:00:00,1.78,1.656
PCAR,2019-04-30 08:00:00,1.81,1.654
HCA,2019-04-30 08:15:00,2.97,2.319
ECL,2019-04-30 08:30:00,1.03,1.02
AMGN,2019-04-30 16:01:00,3.56,3.469
FISV,2019-04-30 16:01:00,0.84,0.822
VRTX,2019-04-30 16:01:00,1.14,1.005
AKAM,2019-04-30 16:03:00,1.1,1.019
