Ticker,Actual,Estimate,Time,Date,date_minus_30,date_30
TEL,1.29,1.2790000000000001,2019-01-23 06:00:00,2019-01-23,2018-12-07,2019-03-07
FFIV,2.7,2.535,2019-01-23 16:05:00,2019-01-23,2018-12-07,2019-03-07
VAR,1.06,1.084,2019-01-23 16:06:00,2019-01-23,2018-12-07,2019-03-07
RJF,1.79,1.719,2019-01-23 16:23:00,2019-01-23,2018-12-07,2019-03-07
SBUX,0.75,0.649,2019-01-24 16:05:00,2019-01-24,2018-12-10,2019-03-08
APD,1.86,1.869,2019-01-25 06:00:00,2019-01-25,2018-12-11,2019-03-11
DHI,0.76,0.7809999999999999,2019-01-25 06:30:00,2019-01-25,2018-12-11,2019-03-11
ROK,2.21,2.006,2019-01-29 07:00:00,2019-01-29,2018-12-13,2019-03-13
AAPL,4.18,4.167,2019-01-29 16:30:00,2019-01-29,2018-12-13,2019-03-13
HP,-0.1,0.294,2019-01-29 17:09:00,2019-01-29,2018-12-13,2019-03-13
BEN,0.54,0.659,2019-01-30 08:30:00,2019-01-30,2018-12-14,2019-03-14
HOLX,0.58,0.5710000000000001,2019-01-30 16:01:00,2019-01-30,2018-12-14,2019-03-14
QCOM,1.2,1.089,2019-01-30 16:05:00,2019-01-30,2018-12-14,2019-03-14
V,1.3,1.253,2019-01-30 16:07:00,2019-01-30,2018-12-14,2019-03-14
ABC,1.6,1.521,2019-01-31 06:30:00,2019-01-31,2018-12-17,2019-03-15
WRK,0.83,0.805,2019-01-31 06:30:00,2019-01-31,2018-12-17,2019-03-15
JCI,0.26,0.24,2019-02-01 06:55:00,2019-02-01,2018-12-18,2019-03-18
BDX,2.7,2.605,2019-02-05 06:00:00,2019-02-05,2018-12-20,2019-03-20
EMR,0.76,0.659,2019-02-05 06:54:00,2019-02-05,2018-12-20,2019-03-20
VIAB,1.12,1.024,2019-02-05 07:00:00,2019-02-05,2018-12-20,2019-03-20
TDG,3.85,3.431,2019-02-05 07:15:00,2019-02-05,2018-12-20,2019-03-20
DIS,1.84,1.5419999999999998,2019-02-05 16:05:00,2019-02-05,2018-12-20,2019-03-20
SWKS,1.83,1.821,2019-02-05 16:15:00,2019-02-05,2018-12-20,2019-03-20
ATO,1.38,1.327,2019-02-05 17:06:00,2019-02-05,2018-12-20,2019-03-20
JEC,1.14,1.038,2019-02-06 06:40:00,2019-02-06,2018-12-21,2019-03-21
TSN,1.58,1.56,2019-02-07 07:30:00,2019-02-07,2018-12-24,2019-03-22
AMAT,0.81,0.7879999999999999,2019-02-14 16:01:00,2019-02-14,2019-01-02,2019-03-29
DE,1.54,1.751,2019-02-15 06:20:00,2019-02-15,2019-01-03,2019-04-01
ADI,1.33,1.2819999999999998,2019-02-20 08:00:00,2019-02-20,2019-01-07,2019-04-03
A,0.76,0.731,2019-02-20 16:05:00,2019-02-20,2019-01-07,2019-04-03
SNPS,1.08,0.966,2019-02-20 16:05:00,2019-02-20,2019-01-07,2019-04-03
HRL,0.44,0.44299999999999995,2019-02-21 06:30:00,2019-02-21,2019-01-08,2019-04-04
HPE,0.42,0.348,2019-02-21 16:05:00,2019-02-21,2019-01-08,2019-04-04
KEYS,0.93,0.804,2019-02-21 16:05:00,2019-02-21,2019-01-08,2019-04-04
HPQ,0.52,0.517,2019-02-27 16:05:00,2019-02-27,2019-01-14,2019-04-10
COO,2.88,2.5069999999999997,2019-03-05 16:15:00,2019-03-05,2019-01-18,2019-04-16
ADBE,1.71,1.6159999999999999,2019-03-14 16:05:00,2019-03-14,2019-01-30,2019-04-26
AVGO,5.55,5.231,2019-03-14 16:15:00,2019-03-14,2019-01-30,2019-04-26
INFO,0.6,0.5660000000000001,2019-03-26 06:00:00,2019-03-26,2019-02-11,2019-05-08
MKC,1.12,1.04,2019-03-26 06:30:00,2019-03-26,2019-02-11,2019-05-08
CCL,0.49,0.43799999999999994,2019-03-26 09:15:00,2019-03-26,2019-02-11,2019-05-08
LEN,0.74,0.754,2019-03-27 06:00:00,2019-03-27,2019-02-12,2019-05-09
DAL,0.96,0.898,2019-04-10 07:01:00,2019-04-10,2019-02-27,2019-05-23
FAST,0.34,0.33899999999999997,2019-04-11 06:50:00,2019-04-11,2019-02-28,2019-05-24
JPM,2.59,2.353,2019-04-12 06:47:00,2019-04-12,2019-03-01,2019-05-28
PNC,2.69,2.608,2019-04-12 07:00:00,2019-04-12,2019-03-01,2019-05-28
FRC,1.26,1.226,2019-04-12 08:00:00,2019-04-12,2019-03-01,2019-05-28
WFC,1.01,1.092,2019-04-12 08:00:00,2019-04-12,2019-03-01,2019-05-28
MTB,3.35,3.301,2019-04-15 06:37:00,2019-04-15,2019-03-04,2019-05-29
GS,5.71,4.968,2019-04-15 07:30:00,2019-04-15,2019-03-04,2019-05-29
C,1.87,1.798,2019-04-15 07:59:00,2019-04-15,2019-03-04,2019-05-29
SCHW,0.69,0.657,2019-04-15 08:45:00,2019-04-15,2019-03-04,2019-05-29
JBHT,1.09,1.248,2019-04-15 16:01:00,2019-04-15,2019-03-04,2019-05-29
UNH,3.73,3.5989999999999998,2019-04-16 05:55:00,2019-04-16,2019-03-05,2019-05-30
BLK,6.61,6.13,2019-04-16 06:15:00,2019-04-16,2019-03-05,2019-05-30
CMA,2.08,1.931,2019-04-16 06:38:00,2019-04-16,2019-03-05,2019-05-30
JNJ,2.1,2.035,2019-04-16 06:40:00,2019-04-16,2019-03-05,2019-05-30
BAC,0.71,0.6559999999999999,2019-04-16 06:45:00,2019-04-16,2019-03-05,2019-05-30
OMC,1.17,1.082,2019-04-16 06:45:00,2019-04-16,2019-03-05,2019-05-30
PLD,0.73,0.718,2019-04-16 08:00:00,2019-04-16,2019-03-05,2019-05-30
PGR,1.83,1.359,2019-04-16 08:21:00,2019-04-16,2019-03-05,2019-05-30
NFLX,0.76,0.58,2019-04-16 16:00:00,2019-04-16,2019-03-05,2019-05-30
CSX,1.02,0.9079999999999999,2019-04-16 16:02:00,2019-04-16,2019-03-05,2019-05-30
IBM,2.25,2.217,2019-04-16 16:05:00,2019-04-16,2019-03-05,2019-05-30
UAL,1.15,0.9520000000000001,2019-04-16 16:15:00,2019-04-16,2019-03-05,2019-05-30
PEP,0.97,0.914,2019-04-17 06:11:00,2019-04-17,2019-03-06,2019-05-31
BK,0.94,0.958,2019-04-17 06:30:00,2019-04-17,2019-03-06,2019-05-31
TXT,0.76,0.6829999999999999,2019-04-17 06:30:00,2019-04-17,2019-03-06,2019-05-31
USB,1.0,1.001,2019-04-17 06:45:00,2019-04-17,2019-03-06,2019-05-31
MS,1.33,1.166,2019-04-17 07:00:00,2019-04-17,2019-03-06,2019-05-31
PNR,0.43,0.43,2019-04-17 07:04:00,2019-04-17,2019-03-06,2019-05-31
ABT,0.63,0.613,2019-04-17 07:45:00,2019-04-17,2019-03-06,2019-05-31
KSU,1.54,1.436,2019-04-17 08:00:00,2019-04-17,2019-03-06,2019-05-31
ETFC,1.09,0.929,2019-04-17 16:05:00,2019-04-17,2019-03-06,2019-05-31
KMI,0.25,0.243,2019-04-17 16:05:00,2019-04-17,2019-03-06,2019-05-31
LVS,0.91,0.866,2019-04-17 16:05:00,2019-04-17,2019-03-06,2019-05-31
SLG,1.68,1.689,2019-04-17 16:06:00,2019-04-17,2019-03-06,2019-05-31
GL,1.64,1.5859999999999999,2019-04-17 16:10:00,2019-04-17,2019-03-06,2019-05-31
CCI,1.36,1.374,2019-04-17 16:15:00,2019-04-17,2019-03-06,2019-05-31
URI,3.31,3.0269999999999997,2019-04-17 16:15:00,2019-04-17,2019-03-06,2019-05-31
BBT,1.05,1.03,2019-04-18 05:45:00,2019-04-18,2019-03-07,2019-06-03
DHR,1.07,1.016,2019-04-18 06:00:00,2019-04-18,2019-03-07,2019-06-03
RF,0.37,0.369,2019-04-18 06:00:00,2019-04-18,2019-03-07,2019-06-03
STI,1.33,1.304,2019-04-18 06:00:00,2019-04-18,2019-03-07,2019-06-03
CFG,0.93,0.892,2019-04-18 06:30:00,2019-04-18,2019-03-07,2019-06-03
HON,1.92,1.8330000000000002,2019-04-18 06:30:00,2019-04-18,2019-03-07,2019-06-03
KEY,0.4,0.414,2019-04-18 06:30:00,2019-04-18,2019-03-07,2019-06-03
SNA,3.01,2.9010000000000002,2019-04-18 06:30:00,2019-04-18,2019-03-07,2019-06-03
SYF,1.0,0.8909999999999999,2019-04-18 06:30:00,2019-04-18,2019-03-07,2019-06-03
DOV,1.24,1.104,2019-04-18 06:45:00,2019-04-18,2019-03-07,2019-06-03
PPG,1.38,1.21,2019-04-18 06:51:00,2019-04-18,2019-03-07,2019-06-03
TRV,2.83,2.738,2019-04-18 06:57:00,2019-04-18,2019-03-07,2019-06-03
PM,1.09,0.997,2019-04-18 06:59:00,2019-04-18,2019-03-07,2019-06-03
SLB,0.3,0.301,2019-04-18 07:00:00,2019-04-18,2019-03-07,2019-06-03
AXP,2.01,1.986,2019-04-18 07:30:00,2019-04-18,2019-03-07,2019-06-03
UNP,1.93,1.8769999999999998,2019-04-18 08:00:00,2019-04-18,2019-03-07,2019-06-03
GPC,1.28,1.304,2019-04-18 08:32:00,2019-04-18,2019-03-07,2019-06-03
PBCT,0.33,0.33299999999999996,2019-04-18 16:01:00,2019-04-18,2019-03-07,2019-06-03
ISRG,2.61,2.699,2019-04-18 16:05:00,2019-04-18,2019-03-07,2019-06-03
HAL,0.23,0.223,2019-04-22 06:45:00,2019-04-22,2019-03-08,2019-06-04
NVR,47.64,34.448,2019-04-22 07:00:00,2019-04-22,2019-03-08,2019-06-04
KMB,1.66,1.5390000000000001,2019-04-22 07:30:00,2019-04-22,2019-03-08,2019-06-04
GWW,4.51,4.45,2019-04-22 08:00:00,2019-04-22,2019-03-08,2019-06-04
CDNS,0.54,0.491,2019-04-22 16:05:00,2019-04-22,2019-03-08,2019-06-04
WHR,3.11,2.864,2019-04-22 16:10:00,2019-04-22,2019-03-08,2019-06-04
ZION,1.04,1.048,2019-04-22 16:10:00,2019-04-22,2019-03-08,2019-06-04
CE,2.62,2.395,2019-04-22 16:45:00,2019-04-22,2019-03-08,2019-06-04
CNC,1.39,1.34,2019-04-23 06:00:00,2019-04-23,2019-03-11,2019-06-05
FITB,0.63,0.5870000000000001,2019-04-23 06:30:00,2019-04-23,2019-03-11,2019-06-05
