Ticker,Actual,Estimate,Time,Date,date_minus_30,date_30
A,0.76,0.731,2019-02-20 16:05:00,2019-02-20,2019-01-07,2019-04-03
AAL,0.52,0.506,2019-04-26 07:30:00,2019-04-26,2019-03-14,2019-06-10
AAP,2.46,2.371,2019-05-22 06:30:00,2019-05-22,2019-04-09,2019-07-05
AAPL,4.18,4.167,2019-01-29 16:30:00,2019-01-29,2018-12-13,2019-03-13
ABBV,2.14,2.059,2019-04-25 07:42:00,2019-04-25,2019-03-13,2019-06-07
ABC,1.6,1.521,2019-01-31 06:30:00,2019-01-31,2018-12-17,2019-03-15
ABMD,0.97,0.946,2019-01-31 07:00:00,2019-01-31,2018-12-17,2019-03-15
ABT,0.63,0.613,2019-04-17 07:45:00,2019-04-17,2019-03-06,2019-05-31
ACN,1.73,1.5730000000000002,2019-03-28 06:50:00,2019-03-28,2019-02-13,2019-05-10
ADBE,1.71,1.6159999999999999,2019-03-14 16:05:00,2019-03-14,2019-01-30,2019-04-26
ADI,1.33,1.2819999999999998,2019-02-20 08:00:00,2019-02-20,2019-01-07,2019-04-03
ADM,0.46,0.595,2019-04-26 07:00:00,2019-04-26,2019-03-14,2019-06-10
ADP,1.34,1.182,2019-01-30 06:56:00,2019-01-30,2018-12-14,2019-03-14
ADS,3.72,4.05,2019-04-25 07:30:00,2019-04-25,2019-03-13,2019-06-07
ADSK,0.23,0.42100000000000004,2019-02-28 16:01:00,2019-02-28,2019-01-15,2019-04-11
AEE,0.78,0.6809999999999999,2019-05-09 07:59:00,2019-05-09,2019-03-27,2019-06-21
AEP,1.19,1.111,2019-04-25 06:57:00,2019-04-25,2019-03-13,2019-06-07
AES,0.28,0.299,2019-05-07 06:00:00,2019-05-07,2019-03-25,2019-06-19
AFL,1.13,1.0590000000000002,2019-04-25 16:19:00,2019-04-25,2019-03-13,2019-06-07
AGN,3.79,3.553,2019-05-07 07:00:00,2019-05-07,2019-03-25,2019-06-19
AIG,1.58,1.052,2019-05-06 16:16:00,2019-05-06,2019-03-22,2019-06-18
AIV,0.61,0.601,2019-05-02 16:15:00,2019-05-02,2019-03-20,2019-06-14
AIZ,2.33,2.153,2019-05-06 16:15:00,2019-05-06,2019-03-22,2019-06-18
AJG,1.63,1.609,2019-04-25 16:15:00,2019-04-25,2019-03-13,2019-06-07
AKAM,1.1,1.0190000000000001,2019-04-30 16:03:00,2019-04-30,2019-03-18,2019-06-12
ALB,1.23,1.273,2019-05-08 16:15:00,2019-05-08,2019-03-26,2019-06-20
ALGN,0.89,0.825,2019-04-24 16:00:00,2019-04-24,2019-03-12,2019-06-06
ALK,0.17,0.151,2019-04-25 16:01:00,2019-04-25,2019-03-13,2019-06-07
ALL,2.3,2.252,2019-05-01 16:26:00,2019-05-01,2019-03-19,2019-06-13
ALLE,0.88,0.866,2019-04-25 05:30:00,2019-04-25,2019-03-13,2019-06-07
ALXN,2.39,2.211,2019-04-25 06:30:00,2019-04-25,2019-03-13,2019-06-07
AMAT,0.81,0.7879999999999999,2019-02-14 16:01:00,2019-02-14,2019-01-02,2019-03-29
AMCR,0.23,0.28300000000000003,2019-02-10 06:00:00,2019-02-10,2018-12-27,2019-03-26
AMD,0.06,0.054000000000000006,2019-04-30 16:20:00,2019-04-30,2019-03-18,2019-06-12
AME,1.0,0.9690000000000001,2019-05-01 06:55:00,2019-05-01,2019-03-19,2019-06-13
AMG,3.26,3.261,2019-05-06 07:47:00,2019-05-06,2019-03-22,2019-06-18
AMGN,3.56,3.469,2019-04-30 16:01:00,2019-04-30,2019-03-18,2019-06-12
AMP,3.75,3.6310000000000002,2019-04-24 16:10:00,2019-04-24,2019-03-12,2019-06-06
AMT,1.73,1.55,2019-05-03 07:00:00,2019-05-03,2019-03-21,2019-06-17
AMZN,7.09,4.667,2019-04-25 16:01:00,2019-04-25,2019-03-13,2019-06-07
ANET,2.31,2.07,2019-05-02 16:05:00,2019-05-02,2019-03-20,2019-06-14
ANSS,1.29,1.091,2019-05-01 16:39:00,2019-05-01,2019-03-19,2019-06-13
ANTM,6.03,5.84,2019-04-24 06:00:00,2019-04-24,2019-03-12,2019-06-06
AON,3.31,3.302,2019-04-26 06:00:00,2019-04-26,2019-03-14,2019-06-10
AOS,0.53,0.573,2019-04-30 06:55:00,2019-04-30,2019-03-18,2019-06-12
APA,0.1,0.127,2019-05-01 16:49:00,2019-05-01,2019-03-19,2019-06-13
APD,1.86,1.869,2019-01-25 06:00:00,2019-01-25,2018-12-11,2019-03-11
APH,0.89,0.8809999999999999,2019-04-24 08:00:00,2019-04-24,2019-03-12,2019-06-06
APTV,1.05,1.0070000000000001,2019-05-02 06:45:00,2019-05-02,2019-03-20,2019-06-14
ARE,1.71,1.682,2019-04-29 16:10:00,2019-04-29,2019-03-15,2019-06-11
ARNC,0.43,0.387,2019-04-30 08:00:00,2019-04-30,2019-03-18,2019-06-12
ATO,1.38,1.327,2019-02-05 17:06:00,2019-02-05,2018-12-20,2019-03-20
ATVI,0.31,0.257,2019-05-02 16:10:00,2019-05-02,2019-03-20,2019-06-14
AVB,2.3,2.286,2019-04-24 16:16:00,2019-04-24,2019-03-12,2019-06-06
AVGO,5.55,5.231,2019-03-14 16:15:00,2019-03-14,2019-01-30,2019-04-26
AVY,1.48,1.455,2019-04-24 06:45:00,2019-04-24,2019-03-12,2019-06-06
AWK,0.62,0.632,2019-05-01 16:06:00,2019-05-01,2019-03-19,2019-06-13
AXP,2.01,1.986,2019-04-18 07:30:00,2019-04-18,2019-03-07,2019-06-03
AZO,11.49,10.062000000000001,2019-02-26 06:59:00,2019-02-26,2019-01-11,2019-04-09
BA,3.16,3.2510000000000003,2019-04-24 07:30:00,2019-04-24,2019-03-12,2019-06-06
BAC,0.71,0.6559999999999999,2019-04-16 06:45:00,2019-04-16,2019-03-05,2019-05-30
BAX,0.76,0.6809999999999999,2019-04-25 07:15:00,2019-04-25,2019-03-13,2019-06-07
BBT,1.05,1.03,2019-04-18 05:45:00,2019-04-18,2019-03-07,2019-06-03
BBY,2.72,2.563,2019-02-27 07:00:00,2019-02-27,2019-01-14,2019-04-10
BDX,2.7,2.605,2019-02-05 06:00:00,2019-02-05,2018-12-20,2019-03-20
BEN,0.54,0.659,2019-01-30 08:30:00,2019-01-30,2018-12-14,2019-03-14
BIIB,6.98,6.994,2019-04-24 06:39:00,2019-04-24,2019-03-12,2019-06-06
BK,0.94,0.958,2019-04-17 06:30:00,2019-04-17,2019-03-06,2019-05-31
BKNG,11.17,11.324000000000002,2019-05-09 16:09:00,2019-05-09,2019-03-27,2019-06-21
BKR,0.15,0.133,2019-04-30 06:45:00,2019-04-30,2019-03-18,2019-06-12
BLK,6.61,6.13,2019-04-16 06:15:00,2019-04-16,2019-03-05,2019-05-30
BLL,0.49,0.511,2019-05-02 06:00:00,2019-05-02,2019-03-20,2019-06-14
BMY,1.1,1.089,2019-04-25 06:59:00,2019-04-25,2019-03-13,2019-06-07
BR,0.56,0.71,2019-02-07 07:00:00,2019-02-07,2018-12-24,2019-03-22
BSX,0.35,0.35600000000000004,2019-04-24 06:30:00,2019-04-24,2019-03-12,2019-06-06
BWA,1.0,0.9440000000000001,2019-04-25 06:30:00,2019-04-25,2019-03-13,2019-06-07
BXP,1.72,1.6580000000000001,2019-04-30 17:15:00,2019-04-30,2019-03-18,2019-06-12
C,1.87,1.798,2019-04-15 07:59:00,2019-04-15,2019-03-04,2019-05-29
CAG,0.51,0.488,2019-03-21 07:28:00,2019-03-21,2019-02-06,2019-05-03
CAH,1.29,1.094,2019-02-07 06:55:00,2019-02-07,2018-12-24,2019-03-22
CAT,2.94,2.846,2019-04-24 07:30:00,2019-04-24,2019-03-12,2019-06-06
CB,2.54,2.5610000000000004,2019-04-30 16:05:00,2019-04-30,2019-03-18,2019-06-12
CBOE,1.11,0.991,2019-05-03 07:30:00,2019-05-03,2019-03-21,2019-06-17
CBRE,0.79,0.613,2019-05-08 06:55:00,2019-05-08,2019-03-26,2019-06-20
CBS,1.37,1.367,2019-05-02 16:05:00,2019-05-02,2019-03-20,2019-06-14
CCI,1.36,1.374,2019-04-17 16:15:00,2019-04-17,2019-03-06,2019-05-31
CCL,0.49,0.43799999999999994,2019-03-26 09:15:00,2019-03-26,2019-02-11,2019-05-08
CDNS,0.54,0.491,2019-04-22 16:05:00,2019-04-22,2019-03-08,2019-06-04
CDW,1.24,1.11,2019-05-01 07:00:00,2019-05-01,2019-03-19,2019-06-13
CE,2.62,2.395,2019-04-22 16:45:00,2019-04-22,2019-03-08,2019-06-04
CERN,0.61,0.615,2019-04-25 16:01:00,2019-04-25,2019-03-13,2019-06-07
CF,0.27,0.35200000000000004,2019-05-01 16:30:00,2019-05-01,2019-03-19,2019-06-13
CFG,0.93,0.892,2019-04-18 06:30:00,2019-04-18,2019-03-07,2019-06-03
CHD,0.7,0.6609999999999999,2019-05-02 07:00:00,2019-05-02,2019-03-20,2019-06-14
CHRW,1.16,1.1440000000000001,2019-04-30 16:15:00,2019-04-30,2019-03-18,2019-06-12
CHTR,0.98,1.371,2019-04-30 07:00:00,2019-04-30,2019-03-18,2019-06-12
CI,3.9,3.7439999999999998,2019-05-02 06:00:00,2019-05-02,2019-03-20,2019-06-14
CINF,1.05,0.877,2019-04-24 16:05:00,2019-04-24,2019-03-12,2019-06-06
CL,0.67,0.6629999999999999,2019-04-26 06:55:00,2019-04-26,2019-03-14,2019-06-10
CLX,1.4,1.3030000000000002,2019-02-04 06:30:00,2019-02-04,2018-12-19,2019-03-19
CMA,2.08,1.931,2019-04-16 06:38:00,2019-04-16,2019-03-05,2019-05-30
CMCSA,0.76,0.6809999999999999,2019-04-25 07:00:00,2019-04-25,2019-03-13,2019-06-07
CME,1.62,1.597,2019-05-01 07:00:00,2019-05-01,2019-03-19,2019-06-13
CMG,3.4,3.013,2019-04-24 16:10:00,2019-04-24,2019-03-12,2019-06-06
CMI,4.2,3.555,2019-04-30 07:30:00,2019-04-30,2019-03-18,2019-06-12
CMS,0.75,0.772,2019-04-25 07:00:00,2019-04-25,2019-03-13,2019-06-07
CNC,1.39,1.34,2019-04-23 06:00:00,2019-04-23,2019-03-11,2019-06-05
CNP,0.46,0.516,2019-05-09 06:30:00,2019-05-09,2019-03-27,2019-06-21
COF,2.9,2.7060000000000004,2019-04-25 16:05:00,2019-04-25,2019-03-13,2019-06-07
COG,0.73,0.6509999999999999,2019-04-26 06:30:00,2019-04-26,2019-03-14,2019-06-10
COO,2.88,2.5069999999999997,2019-03-05 16:15:00,2019-03-05,2019-01-18,2019-04-16
COP,1.0,0.907,2019-04-30 07:00:00,2019-04-30,2019-03-18,2019-06-12
COST,2.01,1.692,2019-03-07 16:15:00,2019-03-07,2019-01-23,2019-04-18
COTY,0.24,0.221,2019-02-08 06:30:00,2019-02-08,2018-12-26,2019-03-25
CPB,0.77,0.7090000000000001,2019-02-27 07:30:00,2019-02-27,2019-01-14,2019-04-10
CPRI,1.76,1.578,2019-02-06 06:30:00,2019-02-06,2018-12-21,2019-03-21
CPRT,0.52,0.507,2019-02-20 18:00:00,2019-02-20,2019-01-07,2019-04-03
CRM,0.33,0.5529999999999999,2019-03-04 16:05:00,2019-03-04,2019-01-17,2019-04-15
CSCO,0.73,0.7240000000000001,2019-02-13 16:05:00,2019-02-13,2018-12-31,2019-03-28
CSX,1.02,0.9079999999999999,2019-04-16 16:02:00,2019-04-16,2019-03-05,2019-05-30
CTAS,1.84,1.712,2019-03-21 16:15:00,2019-03-21,2019-02-06,2019-05-03
CTL,0.34,0.267,2019-05-08 16:15:00,2019-05-08,2019-03-26,2019-06-20
CTSH,0.91,1.034,2019-05-02 16:01:00,2019-05-02,2019-03-20,2019-06-14
CTVA,0.31,0.44,2019-05-31 11:01:00,2019-05-31,2019-04-17,2019-07-15
CTXS,1.27,1.173,2019-04-24 16:05:00,2019-04-24,2019-03-12,2019-06-06
CVS,1.62,1.511,2019-05-01 06:55:00,2019-05-01,2019-03-19,2019-06-13
CVX,1.39,1.3030000000000002,2019-04-26 08:30:00,2019-04-26,2019-03-14,2019-06-10
CXO,0.72,0.7609999999999999,2019-04-30 16:05:00,2019-04-30,2019-03-18,2019-06-12
D,1.1,1.117,2019-05-03 07:30:00,2019-05-03,2019-03-21,2019-06-17
DAL,0.96,0.898,2019-04-10 07:01:00,2019-04-10,2019-02-27,2019-05-23
DD,2.52,1.38,2019-05-02 06:00:00,2019-05-02,2019-03-20,2019-06-14
DE,1.54,1.751,2019-02-15 06:20:00,2019-02-15,2019-01-03,2019-04-01
DFS,2.15,2.017,2019-04-25 16:19:00,2019-04-25,2019-03-13,2019-06-07
DG,1.84,1.883,2019-03-14 06:55:00,2019-03-14,2019-01-30,2019-04-26
DGX,1.4,1.364,2019-04-23 06:45:00,2019-04-23,2019-03-11,2019-06-05
DHI,0.76,0.7809999999999999,2019-01-25 06:30:00,2019-01-25,2018-12-11,2019-03-11
DHR,1.07,1.016,2019-04-18 06:00:00,2019-04-18,2019-03-07,2019-06-03
DIS,1.84,1.5419999999999998,2019-02-05 16:05:00,2019-02-05,2018-12-20,2019-03-20
DISCA,0.87,0.7959999999999999,2019-05-02 07:02:00,2019-05-02,2019-03-20,2019-06-14
DISH,0.65,0.652,2019-05-03 06:02:00,2019-05-03,2019-03-21,2019-06-17
DLR,1.92,1.63,2019-04-25 16:05:00,2019-04-25,2019-03-13,2019-06-07
DLTR,1.93,1.94,2019-03-06 07:30:00,2019-03-06,2019-01-22,2019-04-17
DOV,1.24,1.104,2019-04-18 06:45:00,2019-04-18,2019-03-07,2019-06-03
DOW,0.83,0.9159999999999999,2019-05-02 06:02:00,2019-05-02,2019-03-20,2019-06-14
DRE,0.33,0.321,2019-04-24 16:12:00,2019-04-24,2019-03-12,2019-06-06
DRI,1.8,1.746,2019-03-21 07:00:00,2019-03-21,2019-02-06,2019-05-03
DTE,2.05,1.959,2019-04-24 06:50:00,2019-04-24,2019-03-12,2019-06-06
DUK,1.28,1.239,2019-05-09 06:45:00,2019-05-09,2019-03-27,2019-06-21
